Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666913762.6441815,0,84954,0,GPS1_Frame,42.33699416666666,-71.08983166666667,9.2,327837.6867849574,4689308.496177837,19.0,T
1666913764.4593873,0,84955,0,GPS1_Frame,42.33699549999999,-71.0898315,9.1,327837.7041543469,4689308.643896897,19.0,T
1666913766.2758007,0,84956,0,GPS1_Frame,42.33699750000001,-71.08983083333332,8.9,327837.76453526237,4689308.864631869,19.0,T
1666913768.0888922,0,84957,0,GPS1_Frame,42.33699883333334,-71.0898295,8.7,327837.8780197745,4689309.009988792,19.0,T
1666913769.9010832,0,84958,0,GPS1_Frame,42.33700016666667,-71.08982816666666,8.6,327837.991504282,4689309.1553457165,19.0,T
1666913771.7176425,0,85000,0,GPS1_Frame,42.337000999999994,-71.08982816666666,8.6,327837.993778439,4689309.2478810325,19.0,T
1666913773.5329914,0,84960,0,GPS1_Frame,42.33700133333333,-71.08982733333333,8.7,327838.063341758,4689309.283207922,19.0,T
1666913775.348466,0,84961,0,GPS1_Frame,42.337001166666674,-71.08982683333333,8.8,327838.10407912266,4689309.263688517,19.0,T
1666913776.5600007,0,84975,0,GPS1_Frame,42.337009,-71.08962199999999,7.4,327855.00052308425,4689309.718817751,19.0,T
1666913779.788421,0,84976,0,GPS1_Frame,42.337026,-71.08959216666668,7.2,327857.50471126847,4689311.54614145,19.0,T
1666913781.6037343,0,84977,0,GPS1_Frame,42.3370465,-71.08956983333334,6.8,327859.4005659274,4689313.777297589,19.0,T
1666913783.421062,0,84978,0,GPS1_Frame,42.337069500000005,-71.08955616666667,6.8,327860.5892437146,4689316.30360513,19.0,T
1666913785.236552,0,84979,0,GPS1_Frame,42.3370945,-71.08955166666667,7.1,327861.02818884095,4689319.070554754,19.0,T
1666913787.0536032,0,84981,0,GPS1_Frame,42.33712116666667,-71.0895575,7.3,327860.6203776933,4689322.043494052,19.0,T
1666913788.8699684,0,84982,0,GPS1_Frame,42.33714716666667,-71.08957433333333,7.1,327859.30452172214,4689324.964673941,19.0,T
1666913790.6885076,0,84983,0,GPS1_Frame,42.337167666666666,-71.08960233333333,7.4,327857.0537025746,4689327.297727526,19.0,T
1666913792.504048,0,84984,0,GPS1_Frame,42.337179500000005,-71.089636,7.4,327854.31239232526,4689328.6798867285,19.0,T
1666913794.3207455,0,84985,0,GPS1_Frame,42.337184166666674,-71.08967316666667,7.7,327851.263182258,4689329.273329166,19.0,T
1666913796.1365678,0,84986,0,GPS1_Frame,42.33718050000001,-71.08971,8.2,327848.21869365964,4689328.94074489,19.0,T
1666913797.9521542,0,84987,0,GPS1_Frame,42.3371675,-71.08974333333335,8.3,327845.43707964796,4689327.56468022,19.0,T
1666913799.7669132,0,84988,0,GPS1_Frame,42.337146,-71.08977133333333,8.5,327843.07165101287,4689325.233958313,19.0,T
1666913801.5834804,0,84989,0,GPS1_Frame,42.33711816666667,-71.08978950000001,8.6,327841.4990490839,4689322.180059632,19.0,T
1666913804.405788,0,85003,0,GPS1_Frame,42.33700533333334,-71.08971116666666,9.0,327847.64457694767,4689309.492182963,19.0,T
1666913806.2193685,0,85004,0,GPS1_Frame,42.337004166666674,-71.08970583333333,9.0,327848.0807766933,4689309.351835809,19.0,T
1666913808.0349166,0,85005,0,GPS1_Frame,42.337002500000004,-71.08969950000001,9.2,327848.59799642744,4689309.153942928,19.0,T
1666913809.851469,0,85006,0,GPS1_Frame,42.337000999999994,-71.08968783333333,9.3,327849.555054402,4689308.963759531,19.0,T
