Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666914108.5366032,0,85294,0,GPS1_Frame,42.33959466666667,-71.09054083333334,10.6,327786.3618486488,4689598.69804615,19.0,T
1666914111.3869007,0,85309,0,GPS1_Frame,42.339808999999995,-71.09011233333334,8.9,327822.24713116046,4689621.630347214,19.0,T
1666914113.2036378,0,85310,0,GPS1_Frame,42.339827666666665,-71.09006633333334,8.7,327826.08759399195,4689623.609991145,19.0,T
1666914115.0171113,0,85311,0,GPS1_Frame,42.33984733333333,-71.09001716666667,8.5,327830.19165609987,4689625.694267397,19.0,T
1666914116.8347442,0,85312,0,GPS1_Frame,42.339868333333335,-71.0899655,8.4,327834.50530638953,4689627.921540463,19.0,T
1666914118.647537,0,85314,0,GPS1_Frame,42.33988916666667,-71.08991333333333,8.4,327838.85968928365,4689630.129296642,19.0,T
1666914120.4630876,0,85315,0,GPS1_Frame,42.33991116666666,-71.0898595,8.4,327843.35455436975,4689632.463230394,19.0,T
1666914122.2797973,0,85316,0,GPS1_Frame,42.33993266666666,-71.08980383333332,8.4,327847.99908283853,4689634.737933815,19.0,T
1666914124.0957952,0,85317,0,GPS1_Frame,42.33995466666667,-71.08974833333333,8.5,327852.63124261517,4689637.068498887,19.0,T
1666914125.9113388,0,85318,0,GPS1_Frame,42.3399765,-71.089694,8.4,327857.1668338032,4689639.382921868,19.0,T
1666914127.72898,0,85319,0,GPS1_Frame,42.339997666666676,-71.08964183333333,8.9,327861.5221116077,4689641.627705893,19.0,T
1666914129.5421135,0,85320,0,GPS1_Frame,42.34001750000001,-71.08959150000001,9.1,327865.7227172728,4689643.728147513,19.0,T
1666914131.3569393,0,85321,0,GPS1_Frame,42.340035500000006,-71.08954566666667,9.2,327869.54760569026,4689645.634123732,19.0,T
1666914133.1712923,0,85322,0,GPS1_Frame,42.3400495,-71.08950883333334,9.3,327872.6201534497,4689647.114151797,19.0,T
1666914134.9867568,0,85323,0,GPS1_Frame,42.340059999999994,-71.08948099999999,9.5,327874.9417259712,4689648.223751966,19.0,T
1666914136.8032072,0,85324,0,GPS1_Frame,42.3400675,-71.08946116666667,9.5,327876.59606871253,4689649.016420372,19.0,T
1666914138.6166468,0,85325,0,GPS1_Frame,42.34007383333333,-71.08944583333333,9.3,327877.8765159797,4689649.688649159,19.0,T
1666914139.4771242,0,85339,0,GPS1_Frame,42.340096833333334,-71.08938716666667,7.1,327882.7722549422,4689652.123865654,19.0,T
1666914142.7020292,0,85340,0,GPS1_Frame,42.340101999999995,-71.0893745,7.1,327883.8298368091,4689652.67194408,19.0,T
1666914144.5210485,0,85341,0,GPS1_Frame,42.34010716666667,-71.089361,7.1,327884.95606877643,4689653.218335781,19.0,T
1666914146.3355358,0,85342,0,GPS1_Frame,42.340112500000004,-71.08934683333334,7.3,327886.13767553,4689653.781885237,19.0,T
1666914148.1488774,0,85343,0,GPS1_Frame,42.34011950000001,-71.08932916666666,7.3,327887.6121606843,4689654.523420815,19.0,T
1666914149.9638817,0,85344,0,GPS1_Frame,42.34013016666666,-71.089303,7.2,327889.79688245326,4689655.654906554,19.0,T
1666914151.777583,0,85345,0,GPS1_Frame,42.340145666666665,-71.089266,7.2,327892.88724391384,4689657.301169553,19.0,T
